,Station Name,Available Bikes,Empty Slots,Latitude,Longitude
79,Cartier / Marie-Anne,19,7,45.53280412806031,-73.57190161943436
80,St-Grégoire / Christophe-Colomb,27,8,45.53255611409675,-73.58993947505951
81,6e Avenue / Bélanger,8,11,45.554582815249745,-73.59631910920143
82,St-Urbain / Laurier,14,5,45.52164617544124,-73.59366774559021
83,Masson / Molson,17,1,45.54434593245247,-73.57697686180472
84,Molson / Wiliam-Tremblay,18,11,45.541602844435374,-73.56496073305605
85,Roy / St-André,18,3,45.521564270906616,-73.57036739587784
86,Atwater / Sherbrooke,19,4,45.4912258547597,-73.58763009309769
87,Ste-Catherine / Bishop,2,17,45.49658063218649,-73.5762146115303
88,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),0,11,45.49487159597493,-73.57112377882004
89,Ste-Catherine / Towers,13,10,45.49228068089086,-73.58096480369566
90,Viger / Chenneville,7,27,45.50531166520915,-73.56089115142822
91,Métro Viau ( Pierre-de-Coubertin / Viau),32,15,45.56221872617909,-73.54626774787903
92,Stanley / René-Lévesque,7,32,45.49790394592446,-73.57077571808077
93,de Maisonneuve / Aylmer (ouest),9,28,45.505173440423306,-73.5706517100334
94,de Maisonneuve / Aylmer (est),3,18,45.50538591756765,-73.5704317688942
95,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),6,9,45.51401222645779,-73.56598667800426
96,Métro Joliette  (Hochelaga / Joliette),9,20,45.54699194653282,-73.55115339159964
97,Ottawa / du Séminaire,2,21,45.4912954250061,-73.56159925460815
98,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),27,19,45.51487490356938,-73.58486406505108
99,Clark / Ontario,9,9,45.51059890498207,-73.56692545115948
100,Ste-Émilie / Sir-Georges-Etienne-Cartier,7,16,45.472636238971525,-73.58546018600464
101,Parc St-Henri (Laporte / Guay),13,2,45.4801160762769,-73.58560770750046
102,de Maisonneuve / Mansfield (nord),12,6,45.502386079583346,-73.57333794236183
103,de Maisonneuve / Mansfield (sud),3,24,45.502053864057466,-73.57346534729004
104,Milton / St-Laurent,16,5,45.512903912221326,-73.57059180741999
105,McTavish / Sherbrooke,19,27,45.50277615861811,-73.57589408755302
106,de Bleury / de Maisonneuve,8,13,45.50710632433956,-73.56861054897308
107,Ste-Catherine / Drummond,2,17,45.498488900657,-73.57436656951904
108,de la Montagne / Notre-Dame,8,15,45.492913379064625,-73.5646878182888
109,Jeanne-Mance / René-Lévesque,3,55,45.5063713381299,-73.5642009973526
110,Cathcart / McGill College,4,23,45.501187681489775,-73.57045487814501
111,de la Côte St-Paul / St-Ambroise,6,21,45.467665653865964,-73.59391784324544
112,Marmier / St-Denis,14,13,45.53102667048665,-73.59862312674522
113,Jacques-Casault / Christophe-Colomb,10,11,45.551961779348346,-73.6303174495697
114,des Carrières / Marquette,20,5,45.53857953787113,-73.58848571777344
115,du Havre / Hochelaga,6,13,45.53579541676834,-73.55795860291892
116,St-Hubert / du Mont-Royal,17,4,45.525710872858475,-73.58128398656845
117,Garnier / Beaubien,6,8,45.54144823434163,-73.59839379787445
118,de Maisonneuve / Fullum,11,6,45.52797141659334,-73.54948371648788
119,Hamel / Sauriol,10,5,45.56157008176612,-73.65338176488876
120,Parc Henri-Julien (Legendre/Henri-Julien),8,11,45.546128338386644,-73.64650368695946
121,Ontario / Ville-Marie,14,5,45.56001959585449,-73.534934520776
122,Place d'Youville / McGill,12,7,45.49996470926352,-73.55615437030792
123,Ball / Bloomfield,5,6,45.529996997063385,-73.63287091255188
124,Parc Villeray (Christophe-Colomb / Jarry),7,8,45.548513207676116,-73.62365484237671
125,Notre-Dame / St-Gabriel,2,13,45.50714391928411,-73.55511903762817
126,St-Hubert / de Maisonneuve (nord),15,7,45.51613214980722,-73.56049686670303
127,St-Jacques / McGill,5,6,45.50114344835097,-73.56077313423157
128,Robert-Bourassa / St-Maurice,1,22,45.49837045828952,-73.56055587530136
